# SYNTHETIC TEST AIS DATA — NOT REAL AIS DATA
# Created for SIH 2026 Problem Statement 26143 — Member 3 AIS Module
mmsi,timestamp,latitude,longitude,imo,ship_name,ship_type,sog,cog,heading
123456789,2026-08-20T14:27:00Z,12.8540,74.7160,9123456,TEST OCEAN,Tanker,12.0,140.0,140.0
123456789,2026-08-20T14:28:00Z,12.8530,74.7170,9123456,TEST OCEAN,Tanker,12.2,140.0,141.0
123456789,2026-08-20T14:29:00Z,12.8520,74.7180,9123456,TEST OCEAN,Tanker,12.4,140.0,142.0
123456789,2026-08-20T14:30:00Z,12.8530,74.7165,9123456,TEST OCEAN,Tanker,12.5,140.0,142.0
123456789,2026-08-20T14:31:00Z,12.8540,74.7150,9123456,TEST OCEAN,Tanker,12.3,140.0,141.0
987654321,2026-08-20T14:25:00Z,12.8750,74.7300,9654321,TEST CARRIER,Cargo,14.1,210.0,208.0
987654321,2026-08-20T14:35:00Z,12.8770,74.7320,9654321,TEST CARRIER,Cargo,14.0,210.0,209.0
987654321,2026-08-20T14:40:00Z,12.8800,74.7350,9654321,TEST CARRIER,Cargo,13.9,210.0,210.0
555555555,2026-08-20T14:18:00Z,12.7900,74.7600,8555555,TEST MARINE,Fishing,6.2,95.0,90.0
555555555,2026-08-20T14:42:00Z,12.7920,74.7620,8555555,TEST MARINE,Fishing,6.0,95.0,92.0
111222333,2026-08-20T14:31:00Z,12.9800,74.7800,9111222,TEST FAR,Cargo,18.0,340.0,340.0
444333222,2026-08-20T18:30:00Z,12.8510,74.7210,9444333,TEST LATE,Tanker,11.5,175.0,175.0
888777666,2026-08-20T10:00:00Z,12.8530,74.7220,9888777,TEST EARLY,Cargo,10.0,190.0,190.0
999000111,2026-08-20T14:30:00Z,95.0000,74.7200,9990001,INVALID LAT,Cargo,10.0,0.0,0.0
999000222,INVALID_TIMESTAMP,12.8500,74.7200,9990002,INVALID TIME,Cargo,10.0,0.0,0.0
,2026-08-20T14:30:00Z,12.8500,74.7200,9990003,MISSING MMSI,Cargo,10.0,0.0,0.0

