# SYNTHETIC DEMO DATA - FOR TESTING AND DEMONSTRATION ONLY
timestamp,latitude,longitude,wind_speed_mps,wind_direction_deg,current_speed_mps,current_direction_deg
2026-08-27T08:00:00Z,18.92,72.83,8.10,150.0,0.45,210.0
2026-08-27T08:30:00Z,18.92,72.83,8.30,152.0,0.44,211.0
2026-08-27T09:00:00Z,18.92,72.83,8.50,154.0,0.43,212.0
2026-08-27T09:30:00Z,18.92,72.83,8.70,156.0,0.42,213.0
2026-08-27T10:00:00Z,18.92,72.83,8.90,158.0,0.40,214.0
2026-08-27T10:30:00Z,18.92,72.83,9.10,160.0,0.38,215.0
2026-08-27T11:00:00Z,18.92,72.83,9.30,162.0,0.35,216.0
2026-08-27T11:30:00Z,18.92,72.83,9.50,164.0,0.33,217.0
2026-08-27T12:00:00Z,18.92,72.83,9.70,166.0,0.30,218.0
2026-08-27T12:30:00Z,18.92,72.83,9.90,168.0,0.28,219.0
2026-08-27T13:00:00Z,18.92,72.83,10.10,170.0,0.25,220.0
